row ID,Score,Phenotype,Potency,Aromatic Atoms Count,Bond Polarizabilities,VABC Volume Descriptor,Hydrogen Bond Acceptors,Hydrogen Bond Donors,Rotatable Bonds Count,Topological Polar Surface Area,Molecular Weight,XLogP,Formal Charge,SP3 Character,Eccentric Connectivity Index,Amine
2,0,Inactive,,6,42.683038,390.8209016,3,1,13,46.53,427.172206,4.673,0,0.233333333,455,0
3,0,Inactive,,6,14.076484,165.2944649,2,1,5,37.3,164.0837296,2.187,0,0.125,150,0
4,0,Inactive,,6,25.354519,229.5524729,2,0,1,38.77,247.1208434,1.785,0,0.2,304,0
5,0,Inactive,,12,22.830484,225.347365,6,2,6,115.58,280.0630112,1.187,0,0.032258065,354,0
6,0,Inactive,,0,34.71221,373.0475844,5,3,8,94.83,374.2093241,1.525,0,0.280701754,513,0
7,0,Inactive,,0,32.525796,329.3809196,2,0,4,34.14,312.2089301,4.708,0,0.294117647,416,0
8,84,Inhibitor,4.4668,17,22.200898,320.6511545,2,0,10,27.05,413.9860238,6.087,0,0.076923077,502,0
9,90,Inhibitor,0.3981,14,40.738417,462.2067974,2,1,19,23.47,535.1423323,9.438,0,0.184615385,767,0
12,83,Inhibitor,6.3096,12,71.169866,542.0733708,12,2,13,206.28,638.1572482,1.358,0,0.153846154,711,0
14,0,Inactive,,6,22.409312,268.7664444,7,3,6,101.67,284.1385591,1.789,0,0.108108108,426,0
15,0,Inactive,,6,56.111073,511.7477677,8,2,17,123.99,545.2624818,1.719,0,0.243589744,941,0
16,0,Inactive,,9,33.070968,287.164496,5,1,12,69.04,304.189926,3.951,0,0.195652174,342,0
17,0,Inactive,,6,14.628863,178.6367709,3,1,6,94.36,211.0593058,0.418,0,0.083333333,233,0
19,10,Inhibitor,56.2341,6,27.882554,312.4036459,3,2,3,83.83,318.1467238,3.396,0,0.177777778,392,0
20,0,Inactive,,12,22.010898,249.0890066,0,0,6,48.67,258.0892089,3.13,0,0.060606061,366,0
21,0,Inactive,,0,48.101108,439.3595181,1,1,11,20.23,384.339216,9.896,0,0.291666667,666,0
22,0,Inactive,,6,10.93207,130.4180268,0,0,2,0,118.0782503,3.396,0,0.052631579,71,0
23,0,Inactive,,6,15.72207,156.7887069,1,0,5,35.53,166.0629942,1.28,0,0.090909091,122,0
24,85,Inhibitor,3.9811,12,53.359073,488.8654103,2,0,20,63.95,490.2598354,5.479,0,0.191780822,940,0
25,0,Inactive,,15,13.87007,219.0122234,2,2,2,65.45,262.0742276,3.34,0,0,324,0
26,0,Inactive,,0,11.216863,116.4012176,1,0,5,17.07,120.0341926,1.972,0,0.25,47,0
27,0,Inactive,,0,10.498863,100.7602246,1,0,3,23.79,83.07349929,1.422,0,0.266666667,38,0
28,0,Inactive,,0,25.008554,252.954388,2,1,6,37.3,234.1619799,4.106,0,0.256410256,221,0
30,22,Inhibitor,6.3096,18,43.702589,385.1507455,1,0,12,54.57,410.164696,7.683,0,0.107142857,503,0
31,20,Inhibitor,35.4813,6,30.339382,271.7068313,1,1,12,29.46,250.1932801,5.297,0,0.227272727,296,0
32,0,Inactive,,6,67.655178,592.9901007,6,0,30,78.9,546.3920394,11.892,0,0.258064516,1091,0
33,0,Inactive,,0,25.736484,204.1635033,3,0,12,41.28,267.9589639,2.004,0,0.24,144,0
34,0,Inactive,,6,30.960105,244.5047041,3,0,6,103.59,297.0960852,-0.141,0,0.25,315,0
35,0,Inactive,,18,27.756105,272.5846111,0,0,6,41.28,310.075881,5.46,0,0,378,0
36,10,Inhibitor,14.1254,18,22.008105,246.213931,0,0,3,13.59,262.0911371,5.943,0,0,261,0
37,10,Inhibitor,14.1254,6,25.592312,283.3193706,1,0,15,89.52,335.1092907,4.502,0,0.179487179,309,0
38,0,Inactive,,0,30.584105,167.3205267,4,0,9,54.57,182.0707956,0.579,0,0.230769231,88,0
39,0,Inactive,,0,2.638,110.146467,1,0,5,17.07,179.8703253,1.691,0,0.142857143,29,0
40,0,Inactive,,0,3.311207,103.725626,2,1,5,37.3,161.9042123,1.03,0,0.125,29,0
41,0,Inactive,11,6,25.212105,247.294024,0,0,6,66,249.1113413,2.193,0,0.090909091,222,0
42,0,Inactive,,0,23.926898,209.0523044,6,0,11,78.9,218.0790382,0.34,0,0.206896552,172,0
43,61,Inhibitor,15.8489,0,31.567796,335.091167,1,0,10,17.07,284.2140155,6.335,0,0.183673469,428,0
44,0,Inactive,,0,9.139242,131.2516299,2,2,6,40.46,243.8734536,0.238,0,0.142857143,52,0
45,0,Inactive,,0,3.026414,70.93410479,0,0,2,0,95.95335542,2.258,0,0,14,0
46,0,Inactive,,6,8.745656,98.46251628,0,0,1,0,92.06260026,2.459,0,0.066666667,45,0
47,0,Inactive,,5,6.652828,67.72004516,0,0,0,28.24,84.00337113,1.459,0,0,20,0
48,0,Inactive,,6,25.972898,290.5626004,8,4,10,164.9,342.0456469,1.776,0,0.055555556,420,0
49,0,Inactive,,0,18.542898,186.5299198,2,1,6,87.9,206.0435217,2.072,0,0.269230769,155,0
50,0,Inactive,,12,15.578484,208.938675,2,2,4,56.15,228.0721194,3.257,0,0,263,0
51,90,Inhibitor,0.3548,0,76.978076,600.8648046,0,0,32,0,545.4535133,15.226,0,0.31372549,768,0
52,0,Inactive,,6,13.118484,137.9940115,0,0,0,0,132.0939004,3.484,0,0.181818182,90,0
53,20,Inhibitor,35.4813,10,17.478105,207.1136361,2,1,1,38.91,234.0923762,2.738,0,0.129032258,189,0
55,0,Inactive,,0,35.546554,301.6859956,7,0,16,80.29,302.136553,0.286,0,0.186046512,552,0
56,0,Inactive,,0,35.546554,301.6859956,7,0,16,80.29,302.136553,0.286,0,0.186046512,552,0
57,0,Inactive,,6,5.512,185.344076,3,0,4,43.37,283.8601546,4.011,0,0,152,0
58,0,Inactive,,0,1.68,101.3562403,0,0,4,0,163.8754107,3.026,0,0,24,0
59,0,Inactive,,6,8.992,201.6342808,3,0,4,43.37,459.6580923,4.715,0,0,152,0
60,0,Inactive,,12,36.01614,481.2898715,0,0,20,18.46,935.4930267,12.516,0,0.176470588,828,0
61,0,Inactive,,12,18.278484,300.3794878,0,2,10,40.46,539.757078,7.714,0,0.090909091,330,0
62,0,Inactive,,6,15.304898,167.9309236,0,2,6,40.46,166.0993797,2.816,0,0.153846154,98,0
63,0,Inactive,,0,10.93207,95.32085061,2,1,5,29.46,90.06807956,0.851,0,0.25,24,0
64,0,Inactive,,0,10.93207,95.32085061,2,1,5,29.46,90.06807956,0.851,0,0.25,24,0
65,0,Inactive,,6,8.475242,145.6464903,4,2,4,74.6,166.0266087,1.252,0,0,126,0
66,61,Inhibitor,19.9526,11,27.770554,282.5885769,3,1,11,50.94,307.14514,3.383,0,0.186046512,376,0
67,0,Inactive,,0,30.703382,234.6172983,0,0,12,38.8,202.1755218,5.807,0,0.307692308,93,0
68,10,Inhibitor,12.5893,6,23.509726,207.4624187,1,0,7,21.76,206.1306798,3.391,0,0.212121212,225,0
69,0,Inactive,,6,18.178898,191.3806762,3,0,7,35.53,194.0942943,3.033,0,0.142857143,174,0
70,0,Inactive,,0,19.136898,134.8523458,2,0,6,21.76,130.0993797,0.957,0,0.304347826,75,0
71,0,Inactive,,0,13.80607,109.9803765,2,0,5,26.3,102.0680796,1.305,0,0.235294118,38,0
72,0,Inactive,,0,17.220898,121.1225932,1,0,6,9.23,102.1044651,1.678,0,0.285714286,34,0
74,0,Inactive,,11,19.914863,192.1138916,5,2,4,121.7,255.0136185,0.47,0,0,233,0
75,0,Inactive,,0,9.095621,64.43292307,4,2,2,88.77,96.98336396,-1.899,0,0,12,0
76,0,Inactive,,11,20.417277,199.6910788,4,2,5,106.6,253.0521122,1.181,0,0.035714286,267,0
77,10,Inhibitor,12.5893,6,18.36607,179.9952668,5,2,4,97.64,214.0412132,-0.06,0,0.041666667,166,0
78,0,Inactive,,0,5.692828,89.18808282,2,0,1,47.58,80.03744813,-0.488,0,0.2,38,0
94,0,Inactive,,18,32.672554,408.0114608,3,5,10,155.14,482.1212969,2.102,0,0.105263158,907,0
96,0,Inactive,,6,32.921796,357.7543286,8,4,7,62.3,437.1049143,0.235,0,0.185185185,435,0
97,40,Inhibitor,35.4813,16,73.961178,720.3479188,14,6,19,229.5,766.3723837,2.997,0,0.185185185,1578,0
98,0,Inactive,,0,11.310449,117.614257,1,0,5,42.37,137.9906135,1.813,0,0.214285714,47,0
99,0,Inactive,,0,9.124035,100.3182724,1,0,4,42.37,123.9749635,1.455,0,0.181818182,31,0
100,0,Inactive,,10,83.596834,817.2750294,12,5,20,209.04,846.4415088,5.132,0,0.219512195,2059,0
101,0,Inactive,,12,11.619656,238.1400839,4,3,4,111.9,284.032088,1.911,0,0,310,0
102,0,Inactive,,12,13.118484,212.1027953,0,3,5,60.69,228.0786442,3.438,0,0,284,0
103,10,Inhibitor,2.8184,6,6.559242,107.5372118,0,3,3,60.69,126.0316941,1.394,0,0,63,0
104,0,Activator,14.1254,16,10.93207,171.1747083,0,0,0,0,202.0782503,5.146,0,0,200,0
105,0,Inactive,,18,32.442554,362.9702995,3,2,8,92.21,410.1187948,4.328,0,0.098039216,473,0
106,0,Inactive,,0,18.449312,172.6771556,1,0,3,17.07,152.1201151,2.126,0,0.259259259,95,0
107,0,Inactive,,6,8.312449,121.4823437,1,0,1,23.79,117.0578492,2.182,0,0.0625,77,0
108,0,Inactive,,6,15.654863,145.5487539,3,1,3,68.54,171.0353995,0.918,0,0.05,99,0
109,0,Inactive,,6,17.491312,167.6464548,0,0,5,0,148.1252005,4.276,0,0.185185185,99,0
110,0,Inactive,,6,15.304898,167.9309236,0,2,6,40.46,166.0993797,3.188,0,0.153846154,110,0
111,10,Inhibitor,50.1187,6,22.82214,225.6881767,1,0,8,17.07,204.1514153,4.142,0,0.2,205,0
112,0,Inactive,,6,15.992484,174.0846916,2,1,6,46.53,180.0786442,2.333,0,0.12,172,0
113,0,Inactive,,0,19.407312,147.2088045,2,1,8,29.46,132.1150298,1.071,0,0.28,65,0
114,0,Inactive,,0,8.745656,78.02486598,2,2,4,40.46,76.0524295,-0.748,0,0.230769231,19,0
115,0,Inactive,,0,17.220898,129.9128199,2,1,7,29.46,118.0993797,0.552,0,0.272727273,65,0
116,10,Inhibitor,50.1187,0,34.71221,332.0173783,2,0,4,34.14,314.2245802,4.826,0,0.320754717,416,0
117,0,Inactive,,6,16.761277,231.2519384,3,0,5,37.38,283.016684,2.272,0,0.172413793,226,0
118,0,Inactive,,6,13.281277,135.5454878,1,1,4,35.25,137.084064,1.543,0,0.095238095,102,0
120,0,Inactive,,0,15.992484,150.7261138,3,1,7,46.53,144.0786442,0.465,0,0.181818182,85,0
121,0,Inactive,,6,26.924554,260.5646147,2,1,11,46.53,250.1568946,5.178,0,0.2,384,0
122,0,Inactive,,6,8.908449,124.4032712,0,0,3,43.14,137.0476785,2.351,0,0.058823529,88,0
123,0,Inactive,,6,11.094863,150.4894825,1,1,5,63.37,167.0582431,1.261,0,0.095238095,140,0
124,0,Inactive,,6,12.577656,191.0897633,4,2,6,109.54,224.0433214,0.701,0,0.041666667,240,0
